Date,CPUTemp,CPU Usage,RAM Usage,GPS,IMU,UV,Dallas Temperature
2024-07-18 11:09:07,{'Temperature': 73.25},{'Usage': 0.2},{'Usage': 16.6},Error,"{'Acceleration': [0.9959878906249999, -0.6153098266601562, -10.024522351074218], 'Gyro': [-0.005862174748091604, 0.005595712259541985, -0.00479632479389313], 'Magnetic': [-8.85, 29.25, -21.599999999999998]}","{'UVA': 4.69512939453125, 'UVB': 0.1614990234375, 'UVC': 0.063323974609375, 'Temperature': 29.25}",Error
2024-07-18 11:09:14,{'Temperature': 73.8},{'Usage': 11.0},{'Usage': 16.6},Error,"{'Acceleration': [0.9864110839843749, -0.6919242797851562, -9.923965881347655], 'Gyro': [-0.006661562213740459, 0.012523736961832063, 0.0021316999083969466], 'Magnetic': [-8.7, 29.099999999999998, -21.45]}","{'UVA': 4.710693359375, 'UVB': 0.178802490234375, 'UVC': 0.0709228515625, 'Temperature': 29.299999999999997}",Error
2024-07-18 11:09:21,{'Temperature': 71.6},{'Usage': 5.8},{'Usage': 16.5},Error,"{'Acceleration': [0.97683427734375, -0.6655880615234374, -9.935936889648437], 'Gyro': [-0.007727412167938932, 0.009326187099236643, -0.0002664624885496183], 'Magnetic': [-8.25, 27.45, -22.95]}","{'UVA': 4.74700927734375, 'UVB': 0.230712890625, 'UVC': 0.113983154296875, 'Temperature': 29.25}",Error
2024-07-18 11:09:28,{'Temperature': 73.25},{'Usage': 0.0},{'Usage': 16.6},Error,"{'Acceleration': [1.0103531005859374, -0.6871358764648438, -10.002974536132811], 'Gyro': [-0.002931087374045802, 0.007727412167938932, -0.0005329249770992366], 'Magnetic': [-9.45, 29.099999999999998, -22.2]}","{'UVA': 2.137451171875, 'UVB': 0.138427734375, 'UVC': 0.098785400390625, 'Temperature': 29.25}",Error
2024-07-18 11:09:35,{'Temperature': 71.6},{'Usage': 0.0},{'Usage': 16.6},Error,"{'Acceleration': [0.9002198242187499, -0.6368576416015624, -9.957484704589843], 'Gyro': [-0.008526799633587786, 0.002931087374045802, 0.0005329249770992366], 'Magnetic': [-9.75, 29.099999999999998, -20.25]}","{'UVA': 4.72625732421875, 'UVB': 0.19610595703125, 'UVC': 0.08612060546875, 'Temperature': 29.25}",Error
2024-07-18 11:09:42,{'Temperature': 72.7},{'Usage': 0.2},{'Usage': 16.5},Error,"{'Acceleration': [0.9552864624023437, -0.7350199096679687, -9.931148486328125], 'Gyro': [-0.005595712259541985, 0.007460949679389314, 0.0013323124427480919], 'Magnetic': [-7.949999999999999, 29.099999999999998, -21.0]}","{'UVA': 4.7418212890625, 'UVB': 0.213409423828125, 'UVC': 0.098785400390625, 'Temperature': 29.25}",Error
2024-07-18 11:09:49,{'Temperature': 70.5},{'Usage': 3.0},{'Usage': 16.5},Error,"{'Acceleration': [0.9576806640625, -0.6775590698242188, -9.938331091308592], 'Gyro': [-0.007727412167938932, 0.010392037053435116, -0.000799387465648855], 'Magnetic': [-8.25, 27.9, -21.45]}","{'UVA': 4.7314453125, 'UVB': 0.224945068359375, 'UVC': 0.101318359375, 'Temperature': 29.25}",Error
2024-07-18 11:09:55,{'Temperature': 71.6},{'Usage': 3.0},{'Usage': 16.7},Error,"{'Acceleration': [1.0103531005859374, -0.7302315063476562, -10.024522351074218], 'Gyro': [-0.004263399816793893, 0.0053292497709923675, -0.00159877493129771], 'Magnetic': [-8.4, 28.799999999999997, -22.65]}","{'UVA': 4.7210693359375, 'UVB': 0.224945068359375, 'UVC': 0.103851318359375, 'Temperature': 29.25}",Error
2024-07-18 11:10:02,{'Temperature': 73.8},{'Usage': 12.3},{'Usage': 16.6},Error,"{'Acceleration': [0.9433154541015625, -0.6727706665039062, -9.935936889648437], 'Gyro': [-0.00319754986259542, 0.003996937328244275, 0.0026646248854961837], 'Magnetic': [-8.4, 28.799999999999997, -21.15]}","{'UVA': 4.68994140625, 'UVB': 0.1845703125, 'UVC': 0.06585693359375, 'Temperature': 29.299999999999997}",Error
2024-07-18 11:10:09,{'Temperature': 71.6},{'Usage': 0.2},{'Usage': 16.5},Error,"{'Acceleration': [0.9026140258789062, -0.679953271484375, -9.878476049804688], 'Gyro': [-0.00319754986259542, 0.0130566619389313, 0.000799387465648855], 'Magnetic': [-7.5, 27.9, -21.75]}","{'UVA': 4.7210693359375, 'UVB': 0.178802490234375, 'UVC': 0.073455810546875, 'Temperature': 29.25}",Error
