Date,CPUTemp,CPU Usage,RAM Usage,Latitude,Longitude,Altitude,Satellites,Elevation,Azimuth,UTC Time,Acceleration,Gyro,Magnetic,UVA,UVB,UVC,UV Temp,Temperature
11:46:38,83.7,Error,18.0,40.43566833333333,-3.882788,Error,Error,Error,Error,094637.00,"[0.9552864624023437, -0.6488286499023437, -9.938331091308592]","[-0.010125574564885496, 0.0053292497709923675, 0.0018652374198473284]","[-8.7, 28.65, -20.7]",4.793701171875,0.201873779296875,0.083587646484375,30.150000000000006,Error
11:46:45,84.25,7.0,18.0,Error,Error,Error,10,Error,Error,Error,"[0.9433154541015625, -0.6560112548828124, -9.931148486328125]","[-0.003730474839694657, 0.00639509972519084, 0.0002664624885496183]","[-8.7, 29.099999999999998, -19.95]",4.85595703125,0.2537841796875,0.1317138671875,30.150000000000006,Error
11:46:52,82.6,0.2,18.0,Error,Error,Error,10,Error,Error,Error,"[0.9959878906249999, -0.679953271484375, -9.955090502929687]","[-0.010125574564885496, 0.0018652374198473284, -0.004263399816793893]","[-8.1, 29.7, -21.15]",4.8248291015625,0.21917724609375,0.108917236328125,30.150000000000006,Error
11:47:02,82.05,0.2,18.0,Error,Error,Error,10,Error,Error,Error,"[0.9457096557617187, -0.679953271484375, -9.928754284667969]","[-0.011724349496183208, 0.005062787282442748, -0.007194487190839696]","[-7.949999999999999, 29.099999999999998, -22.2]",4.80926513671875,0.19610595703125,0.0810546875,30.200000000000003,Error
11:47:09,83.7,0.5,18.0,Error,Error,Error,10,Error,Error,Error,"[0.9624690673828125, -0.7015010864257812, -9.952696301269532]","[-0.003730474839694657, 0.002931087374045802, 0.000799387465648855]","[-7.949999999999999, 28.65, -21.45]",4.84039306640625,0.271087646484375,0.139312744140625,30.150000000000006,Error
11:47:16,83.7,Error,18.0,Error,Error,Error,10,Error,Error,Error,"[0.9576806640625, -0.6655880615234374, -9.964667309570311]","[-0.008793262122137404, 0.008260337145038169, -0.005595712259541985]","[-9.0, 29.849999999999998, -21.45]",4.84039306640625,0.236480712890625,0.12158203125,30.150000000000006,Error
11:47:23,84.8,Error,18.0,Error,Error,Error,10,Error,Error,Error,"[0.9217676391601562, -0.7254431030273437, -9.931148486328125]","[-0.0034640123511450386, 0.0034640123511450386, -0.003730474839694657]","[-10.2, 29.849999999999998, -20.7]",4.8248291015625,0.2076416015625,0.101318359375,30.150000000000006,Error
11:47:30,84.25,5.0,18.3,Error,Error,Error,10,Error,Error,Error,"[0.9552864624023437, -0.689530078125, -9.950302099609374]","[-0.013589586916030535, 0.006928024702290077, -0.0013323124427480919]","[-8.85, 27.75, -21.9]",4.80926513671875,0.190338134765625,0.08612060546875,30.099999999999994,Error
11:47:36,82.6,Error,18.0,Error,Error,Error,11,Error,Error,Error,"[0.9457096557617187, -0.6153098266601562, -9.950302099609374]","[-0.007727412167938932, 0.00479632479389313, -0.00479632479389313]","[-9.6, 28.799999999999997, -21.599999999999998]",4.814453125,0.19610595703125,0.093719482421875,30.150000000000006,Error
11:47:43,83.7,14.5,18.0,Error,Error,Error,10,Error,Error,Error,"[0.9959878906249999, -0.6967126831054687, -9.945513696289062]","[-0.0061286372366412215, 0.008260337145038169, 0.00479632479389313]","[-8.1, 28.05, -19.8]",4.9285888671875,0.2537841796875,0.134246826171875,30.200000000000003,Error
11:47:50,83.15,6.5,18.0,Error,Error,Error,10,Error,Error,Error,"[0.9265560424804687, -0.6607996582031249, -9.97184991455078]","[-0.00639509972519084, 0.0010658499541984733, 0.0005329249770992366]","[-9.45, 29.4, -21.75]",4.8455810546875,0.224945068359375,0.11651611328125,30.200000000000003,Error
11:48:00,82.05,6.5,18.1,Error,Error,Error,10,Error,Error,Error,"[0.9648632690429687, -0.70868369140625, -9.935936889648437]","[-0.000799387465648855, 0.014655436870229008, -0.004529862305343512]","[-7.949999999999999, 30.299999999999997, -21.0]",4.83001708984375,0.236480712890625,0.119049072265625,30.25,Error
11:48:10,84.25,6.5,18.1,Error,Error,Error,10,Error,Error,Error,"[0.9552864624023437, -0.7158662963867187, -9.90241806640625]","[-0.008526799633587786, 0.005062787282442748, 0.0]","[-7.199999999999999, 30.599999999999998, -22.2]",4.814453125,0.2076416015625,0.101318359375,30.200000000000003,Error
11:48:17,82.6,0.5,18.1,Error,Error,Error,10,Error,Error,Error,"[1.0079588989257813, -0.6464344482421874, -9.947907897949218]","[-0.010125574564885496, -0.0010658499541984733, -0.00319754986259542]","[-7.949999999999999, 28.65, -21.45]",4.835205078125,0.230712890625,0.11651611328125,30.200000000000003,Error
11:48:24,84.25,1.0,18.1,Error,Error,Error,10,Error,Error,Error,"[0.97683427734375, -0.6679822631835937, -9.943119494628906]","[-0.0053292497709923675, 0.004529862305343512, 0.00159877493129771]","[-9.0, 28.349999999999998, -20.7]",4.77813720703125,0.167266845703125,0.06585693359375,30.200000000000003,Error
11:48:34,83.15,0.2,18.1,Error,Error,Error,10,Error,Error,Error,"[0.9983820922851562, -0.6703764648437499, -9.952696301269532]","[-0.01119142451908397, 0.008793262122137404, -0.0005329249770992366]","[-9.299999999999999, 30.45, -21.15]",4.8248291015625,0.2076416015625,0.103851318359375,30.25,Error
11:48:41,84.25,1.0,18.1,Error,Error,Error,10,Error,Error,Error,"[0.97683427734375, -0.6512228515624999, -10.01015714111328]","[-0.010924962030534353, 0.0013323124427480919, 0.0026646248854961837]","[-7.6499999999999995, 30.45, -20.099999999999998]",4.7833251953125,0.167266845703125,0.0709228515625,30.200000000000003,Error
11:48:48,84.25,0.2,18.1,Error,Error,Error,10,Error,Error,Error,"[0.928950244140625, -0.6727706665039062, -9.9981861328125]","[-0.009326187099236643, 0.010924962030534353, -0.002931087374045802]","[-10.049999999999999, 27.75, -21.599999999999998]",4.77294921875,0.1845703125,0.0810546875,30.200000000000003,Error
11:48:58,84.25,0.3,18.1,40.435659,-3.882751333333333,729.1 M,Error,Error,Error,094851.00,"[0.9864110839843749, -0.6967126831054687, -9.907206469726562]","[-0.011457887007633588, 0.004529862305343512, -0.0010658499541984733]","[0.0, 0.0, 0.0]",4.793701171875,0.178802490234375,0.078521728515625,30.25,Error
11:49:08,83.15,11.8,18.0,Error,Error,Error,Error,Error,Error,Error,"[1.0462661254882812, -0.6655880615234374, -9.85692823486328]","[-0.00959264958778626, 0.002398162396946565, -0.0005329249770992366]","[-9.0, 29.099999999999998, -21.0]",4.7833251953125,0.178802490234375,0.07598876953125,30.200000000000003,Error
11:49:15,84.25,2.5,18.2,Error,Error,Error,Error,Error,Error,Error,"[0.9265560424804687, -0.7254431030273437, -9.957484704589843]","[-0.005862174748091604, 0.0013323124427480919, 0.0034640123511450386]","[-8.7, 28.349999999999998, -22.5]",4.93377685546875,0.317230224609375,0.184906005859375,30.200000000000003,Error
11:49:21,84.25,0.2,18.0,Error,Error,Error,09,Error,Error,Error,"[0.9576806640625, -0.699106884765625, -10.000580334472655]","[-0.004529862305343512, 0.005595712259541985, -0.005862174748091604]","[-8.85, 29.25, -21.599999999999998]",4.80926513671875,0.19610595703125,0.0911865234375,30.200000000000003,Error
11:49:28,84.25,Error,18.0,Error,Error,Error,10,Error,Error,Error,"[0.9864110839843749, -0.63206923828125, -9.988609326171874]","[-0.002931087374045802, 0.0026646248854961837, 0.0021316999083969466]","[-7.5, 28.349999999999998, -20.25]",4.8040771484375,0.190338134765625,0.088653564453125,30.200000000000003,Error
11:49:35,84.8,5.7,17.3,Error,Error,Error,10,Error,Error,Error,"[0.9576806640625, -0.6488286499023437, -9.957484704589843]","[-0.007194487190839696, 0.0021316999083969466, 0.0026646248854961837]","[-10.049999999999999, 28.05, -20.099999999999998]",4.78851318359375,0.178802490234375,0.07598876953125,30.25,Error
11:49:42,82.6,2.8,17.4,Error,Error,Error,10,Error,Error,Error,"[0.9097966308593749, -0.7254431030273437, -9.926360083007811]","[-0.011990811984732825, -0.004263399816793893, -0.0002664624885496183]","[-10.049999999999999, 30.9, -21.15]",4.87152099609375,0.27685546875,0.13677978515625,30.25,Error
11:49:52,81.5,0.2,17.4,Error,Error,Error,10,Error,Error,Error,"[0.9696516723632812, -0.6871358764648438, -9.916783276367187]","[-0.0053292497709923675, 0.007727412167938932, -0.0034640123511450386]","[-8.25, 28.65, -22.5]",4.77813720703125,0.201873779296875,0.0911865234375,30.200000000000003,Error
11:49:59,83.7,0.5,17.4,Error,Error,Error,10,Error,Error,Error,"[0.9361328491210937, -0.7326257080078125, -9.97184991455078]","[-0.010924962030534353, 0.004263399816793893, -0.0018652374198473284]","[-8.7, 28.349999999999998, -21.0]",4.918212890625,0.248016357421875,0.13677978515625,30.25,Error
11:50:06,82.05,0.2,17.4,Error,Error,Error,10,Error,Error,Error,"[0.9600748657226562, -0.7038952880859375, -9.928754284667969]","[-0.006928024702290077, 0.00319754986259542, 0.0]","[-7.6499999999999995, 27.75, -21.9]",4.8248291015625,0.259552001953125,0.134246826171875,30.25,Error
11:50:13,83.15,0.2,17.4,Error,Error,Error,10,Error,Error,Error,"[0.93852705078125, -0.7062894897460937, -9.943119494628906]","[-0.000799387465648855, 0.005062787282442748, -0.000799387465648855]","[-9.299999999999999, 28.05, -21.599999999999998]",4.78851318359375,0.190338134765625,0.0810546875,30.200000000000003,Error
11:50:19,82.05,14.8,17.4,Error,Error,Error,11,Error,Error,Error,"[0.9911994873046874, -0.6464344482421874, -9.95987890625]","[-0.005862174748091604, 0.006928024702290077, -0.0021316999083969466]","[-9.75, 29.4, -22.95]",4.79888916015625,0.230712890625,0.1317138671875,30.25,Error
11:50:26,82.6,Error,17.4,Error,Error,Error,10,Error,Error,Error,"[0.9720458740234375, -0.7038952880859375, -10.002974536132811]","[-0.008260337145038169, 0.004263399816793893, 0.0]","[-9.299999999999999, 28.799999999999997, -21.599999999999998]",4.793701171875,0.230712890625,0.098785400390625,30.25,Error
11:50:33,83.15,Error,17.4,Error,Error,Error,10,Error,Error,Error,"[0.928950244140625, -0.6847416748046875, -9.935936889648437]","[-0.010658499541984735, -0.0010658499541984733, -0.00639509972519084]","[-8.85, 29.25, -21.9]",4.84039306640625,0.230712890625,0.12158203125,30.25,Error
11:50:40,80.4,6.2,17.4,Error,Error,Error,10,Error,Error,Error,"[0.9864110839843749, -0.6847416748046875, -9.931148486328125]","[-0.008793262122137404, 0.005062787282442748, 0.0]","[-8.85, 27.75, -20.099999999999998]",4.84039306640625,0.24224853515625,0.124114990234375,30.25,Error
11:50:47,83.15,0.2,17.5,Error,Error,Error,10,Error,Error,Error,"[0.9911994873046874, -0.6871358764648438, -9.983820922851562]","[-0.002931087374045802, 0.0053292497709923675, 0.0018652374198473284]","[-7.949999999999999, 29.099999999999998, -22.2]",4.8040771484375,0.201873779296875,0.0911865234375,30.25,Error
11:50:54,80.95,0.2,17.5,Error,Error,Error,10,Error,Error,Error,"[0.9433154541015625, -0.6536170532226562, -9.945513696289062]","[-0.012523736961832063, 0.00479632479389313, -0.005862174748091604]","[-8.4, 28.5, -20.099999999999998]",4.8248291015625,0.236480712890625,0.101318359375,30.200000000000003,Error
11:51:01,83.15,2.8,17.5,Error,Error,Error,10,Error,Error,Error,"[0.967257470703125, -0.6584054565429687, -9.931148486328125]","[-0.007727412167938932, 0.0018652374198473284, -0.00159877493129771]","[-8.1, 29.7, -19.8]",4.85595703125,0.282623291015625,0.149444580078125,30.200000000000003,Error
11:51:07,84.25,15.6,17.4,Error,Error,Error,11,Error,Error,Error,"[1.0007762939453124, -0.6584054565429687, -10.002974536132811]","[-0.007460949679389314, 0.00159877493129771, 0.000799387465648855]","[-8.1, 29.7, -21.9]",4.77813720703125,0.248016357421875,0.1317138671875,30.200000000000003,Error
